word,label,is_ne
Maglonzo,OTH,NE
Jewel,OTH,NE
Emerald,OTH,NE
Batang,OTH,NE
Samorin,OTH,NE
John,OTH,NE
Angelo,OTH,NE
Mayuga,OTH,NE
Facun,OTH,NE
Hazel,OTH,NE
Anne,OTH,NE
Dinopol,OTH,NE
Langiden,OTH,NE
Lyn,OTH,NE
Cionadel,OTH,NE
Fenis,OTH,NE
Cana,OTH,NE
James,OTH,NE
Delgado,OTH,NE
Francisco,OTH,NE
Leah,OTH,NE
Cassandra,OTH,NE
Medalla,OTH,NE
Perez,OTH,NE
Vince,OTH,NE
Jazper,OTH,NE
Mauricio,OTH,NE
Sarang,OTH,NE
Vince,OTH,NE
Ivan,OTH,NE
Quimado,OTH,NE
Delegencia,OTH,NE
April,OTH,NE
Jane,OTH,NE
Prones,OTH,NE
Regala,OTH,NE
Jed,OTH,NE
Kirby,OTH,NE
Lamata,OTH,NE
Yangyang,OTH,NE
Marielle,OTH,NE
Layar,OTH,NE
Saul,OTH,NE
Venice,OTH,NE
Sandra,OTH,NE
Samillano,OTH,NE
Abejero,OTH,NE
Vanessa,OTH,NE
Maneja,OTH,NE
Radana,OTH,NE
Seth,OTH,NE
Miguel,OTH,NE
Villasoto,OTH,NE
Basong,OTH,NE
Earl,OTH,NE
John,OTH,NE
Bonghanoy,OTH,NE
Cambri,OTH,NE
Venice,OTH,NE
Rhian,OTH,NE
Bulallo,OTH,NE
Cruz,OTH,NE
Avaraine,OTH,NE
Marie,OTH,NE
Lansang,OTH,NE
Mira,OTH,NE
Avegail,OTH,NE
Ross,OTH,NE
Lazaro,OTH,NE
Bas,OTH,NE
Jasper,OTH,NE
Luke,OTH,NE
Managay,OTH,NE
Miranda,OTH,NE
Lance,OTH,NE
Bryan,OTH,NE
Pulusan,OTH,NE
Penero,OTH,NE
Harvy,OTH,NE
Lorenz,OTH,NE
Canja,OTH,NE
Perez,OTH,NE
Alexandria,OTH,NE
Comania,OTH,NE
Tamayo,OTH,NE
Jan,OTH,NE
Dee,OTH,NE
Bayao,OTH,NE
Lizarte,OTH,NE
Sandrew,OTH,NE
Leopoldo,OTH,NE
Arcilla,OTH,NE
Josef,OTH,NE
Martin,OTH,NE
Sales,OTH,NE
Gabule,OTH,NE
Lexter,OTH,NE
Adalim,OTH,NE
Cuaresma,OTH,NE
Roiemar,OTH,NE
Daniel,OTH,NE
Lopez,OTH,NE
Aquino,OTH,NE
Andrea,OTH,NE
Medina,OTH,NE
Santos,OTH,NE
Vince,OTH,NE
Richard,OTH,NE
Mauricio,OTH,NE
Pablo,OTH,NE
Divine,OTH,NE
Grace,OTH,NE
Andresio,OTH,NE
Salvatierra,OTH,NE
Emmanuel,OTH,NE
JhareN,OTH,NE
Bagano,OTH,NE
Edwin,OTH,NE
Luke,OTH,NE
Lumanglang,OTH,NE
Ebol,OTH,NE
Jesulem,OTH,NE
Adam,OTH,NE
Cruzado,OTH,NE
Sudario,OTH,NE
Mark,OTH,NE
Joshua,OTH,NE
Laplana,OTH,NE
Tagupa,OTH,NE
Clyde,OTH,NE
Espardinez,OTH,NE
Condes,OTH,NE
Elijah,OTH,NE
Gomez,OTH,NE
Landicho,OTH,NE
Cris,OTH,NE
Ian,OTH,NE
Santos,OTH,NE
Gulapo,OTH,NE
Carmelle,OTH,NE
Jade,OTH,NE
Golingan,OTH,NE
Valmores,OTH,NE
Keiran,OTH,NE
Vladimir,OTH,NE
Ilagan,OTH,NE
Tacogue,OTH,NE
Athena,OTH,NE
Faith,OTH,NE
Pamati-an,OTH,NE
Reyes,OTH,NE
Fiona,OTH,NE
Margaret,OTH,NE
Centeno,OTH,NE
Angeles,OTH,NE
Matthew,OTH,NE
Dominic,OTH,NE
